Reasons for order stuck,Classification of problems
Provincial resource process problems make it impossible to circulate and need to be stopped. ,Reasons for the group system 
Operation problems in the province. Repeated orders due to an unfinished work order ,Data issues 
"The relevant interface address of provincial OTN access resource configuration has not been filled in the online document, and the order cannot be sent. ",Reasons for the provincial system 
The relay can't be found. ,Data issues 
And other provincial resources OTN aggregation equipment resource allocation return ,Reasons for the provincial system 
The call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api has not been received. The group arrangement and re-adjustment has passed the order. ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement and re-adjustment has been sent to provincial resources. Provincial resources 3A circuit callback relay and opposite-end circuit are repeated.,Reasons for the provincial system 
Provincial arrangement without reply ,Reasons for the provincial system 
The problem of network configuration strategy has been fed back to the cloud effect. ,Reasons for the design center plan 
The problem of network configuration strategy has been fed back to the cloud effect. ,Reasons for the design center plan 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted, and the order has been replied. ",Collaborative dependence 
"No resource construction and mining process test list, there is a problem with the process in the province, invalid ",Data issues 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
OTMS has no test environment and is forced to pass the order. ,Data issues 
"The original circuit has been shut down, and you need to place a new order to verify the problem. ",Reasons for the group system 
Provincial resource allocation VLAN is duplicated with other in-way orders. ,Reasons for the provincial system 
Misoperation in the province ,Data issues 
Please ask the design center to check whether the process is correct. ,Data issues 
It has stopped. ,Reasons for the provincial system 
OTMS has no test environment and is forced to pass the order. ,Data issues 
Research institute program problems ,Reasons for the design center plan 
The address is wrong and has been stopped.,Data issues 
"SDN_CN2PE_OTN-CN2 three-layer VPN access_installation_device configuration_link reverse card list, waste order, group arrangement has adjusted the shutdown process ",Reasons for the design center plan 
OTMS has no test environment and is forced to pass the order. ,Data issues 
"Group arrangement interface problem, deal with ",Reasons for the group system 
"RES_IP_CN2PE_MPLS_L3VPN_configuration new_link, waste order, to be adjusted and developed by the group ",Reasons for the group system 
OTMS has no test environment and is forced to pass the order. ,Data issues 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement has been dealt with and re-adjusted, and it has been issued to the province, and the name of the provincial resource return order does not exist. ",Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test list is invalid. ,Data issues 
OTMS has no test environment and is forced to pass the order. ,Data issues 
OTMS has no test environment and is forced to pass the order. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test list is invalid. ,Data issues 
Waiting for the provincial resource archiving callback ,Data issues 
"At that time, 5G access had not been started, and the order could not be opened through PSR; the order problem ",To be determined (other reasons) (write notes) 
CRM has not been issued ,Reasons for the group system 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
Wait for the provincial resource network ASBR equipment resource allocation return ,Data issues 
Caused by the misoperation of the re-dissiption button in the province ,Reasons for the provincial system 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
Caused by the misoperation of the re-dissiption button in the province ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's choreography problem is re-adjusted and sent to provincial resources. The abnormal asynchronous callback of provincial resources cannot find the circuit information according to the circuit code. ,Data issues 
The problem of placing an order ,To be determined (other reasons) (write notes) 
Test list for January ,To be determined (other reasons) (write notes) 
Test list for January ,To be determined (other reasons) (write notes) 
Test list for January ,To be determined (other reasons) (write notes) 
The test list is invalid. ,Data issues 
Stop and try again. ,Reasons for the group system 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
"The CRM interface was not adjusted, and it was not successful until it was re-adjusted. ",Reasons for the group system 
IPRAN PW access to RFS_installation_on-site construction_link (on-site construction) waiting for the group to release dependence and wait ,Data issues 
Provincial arrangement of unanalyzed processes and waste orders ,Reasons for the provincial system 
"Standard address unbound equipment, waste orders ",Reasons for the provincial system 
"Standard address unbound equipment, waste orders ",Reasons for the provincial system 
"CFS cloud private network product_installation_service design_link abnormal professional labor, service_id violates the limit of not empty ",Reasons for the provincial system 
The resource allocation card has not been processed manually. ,Reasons for the provincial system 
Stop and try again. ,Reasons for the group system 
JIPRAN PW access to RFS_resource configuration rollback processing,Reasons for the provincial system 
Ungenerated process links ,Reasons for the group system 
"The order is the previous test order, which is no longer needed and can be discarded. ",Data issues 
"The group's choreography process was wrong, and the rate change was directly archived. ",Data issues 
Caused by misoperation in the province ,Data issues 
Local network group CRM has not been imported into CE_COUNTRY district and county field ,Data issues 
Cloud tone response error ,Reasons for the group system 
The group resource RFS test data has been deleted and the process cannot be archived. ,Reasons for the group system 
As a result of server restart ,Reasons for the provincial system 
The local network could not open business at that time. ,To be determined (other reasons) (write notes) 
Repeat the order,Reasons for the group system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
Provincial resource data issues ,Reasons for the provincial system 
Downstream response ,Reasons for the group system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
Waste order ,Data issues 
The reason has not been identified for a long time.,To be determined (other reasons) (write notes) 
OTMS has no test environment and is forced to pass the order. ,Data issues 
And other provincial resources OTN aggregation equipment resource allocation return ,Reasons for the provincial system 
And other provincial resources OTN aggregation equipment resource allocation return ,Reasons for the provincial system 
Provincial resources to be returned ,Reasons for the group system 
"OTN Ethernet link RFS_resource configuration_link, return exception, request message format verification exception ",Reasons for the provincial system 
OTN Ethernet link RFS_on-site construction_api no reply ,Reasons for the provincial system 
"The provincial resource allocation rules have not yet been determined, and some equipment and attribute resources have not yet been managed, resulting in the inability to configure the return order normally. ",Reasons for the provincial system 
Waste order ,Data issues 
"The group arrangement has been dealt with, resulting in misoperation in the province. ",Data issues 
The provincial resource callback interface is empty. ,Reasons for the provincial system 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
Mandatory order ,Data issues 
Intra-provincial interface ,Reasons for the provincial system 
The group's long-distance resource interface has not been called back and responded. Just re-adjust it. ,Reasons for the group system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem will be re-adjusted and sent to the provincial resources, waiting for the provincial resource return. ",Reasons for the provincial system 
Operation problems in the province ,Data issues 
Stop and try again. ,Reasons for the group system 
"The test environment data in the province is missing, and the automatic configuration has not been completed. ",Reasons for the provincial system 
"The two-way verification interface of the group's resources is reported to 400, which affects the interconnection IP verification, and can be re-adjusted in the province. ",Reasons for the group system 
The development of the group CRM is suspended and cannot be sent to the group service. Reasons for group arrangement and inspection ,Reasons for the group system 
You can't issue a business if you place an order on the local network. ,To be determined (other reasons) (write notes) 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and has been sent to the provincial resources, waiting for the provincial resources to be returned. ",Reasons for the provincial system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and has been sent to the provincial resources, waiting for the provincial resources to be returned. ",Data issues 
It has stopped. ,Reasons for the provincial system 
Local network arrangement has not been transmitted to CE_COUNTRY district and county fields ,Reasons for the group system 
Mandatory order ,Data issues 
Provincial resource OTN convergence equipment callback relay link is empty ,Reasons for the provincial system 
"Multiple sets of data are configured during manual processing in the province, and the return order cannot be completed. ",Data issues 
Provincial resource OTN convergence equipment callback relay link is empty ,Reasons for the provincial system 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
"The relevant interface address of OTN access is not provided when placing the order, and the order cannot be dispatched. At present, the rollback of the service design has been carried out, which is not in this link. ",To be determined (other reasons) (write notes) 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN-CN2 three-layer VPN access RFS_resource configuration_link no return order ,Reasons for the provincial system 
The local network could not open business at that time. ,To be determined (other reasons) (write notes) 
Waiting on dependence ,Collaborative dependence 
This work order has not been found in the province. ,Data issues 
The relay link information configured in the province is inconsistent with that of the group. ,Reasons for the provincial system 
The problem of placing an order ,Data issues 
"The call to the group's arrangement of IPRAN-CN2 three-layer EVPN access to RFS_resource configuration_api was not received. The group's arrangement problem has been re-adjusted and has been sent to the provincial resources, waiting for the provincial resources to be returned. ",Reasons for the provincial system 
"At present, the provincial control test environment can only be manually confirmed and returned. At present, the order has been returned. ",Reasons for the provincial system 
"The provincial orchestration system has not found it, and there is no joint adjustment record. It is suspected that it is the reason for placing the order. ",Data issues 
Abnormal resource allocation of access segments in the province,Data issues 
"Due to the lack of nodes in downstream feedback, the group's arrangement increases the verification and the increase of verification.",Reasons for the provincial system 
"The new installation of the order in the province has not been archived, and the disassembly process will be carried out.",To be determined (other reasons) (write notes) 
The user IP segment issued is not compliant. ,Reasons for the group system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and has been sent to the provincial resources, waiting for the provincial resources to be returned. ",Collaborative dependence 
"Provincial resource OTN aggregation equipment resource configuration return exception: 'In the cloud private network 3.0 IPRAN, 5G, OTN multi-A scenario, the associated product instance id is empty, the data is incomplete and the resource allocation cannot be carried out, and the configuration fails!' ",Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Data issues 
OTN Ethernet link RFS_resource configuration_link no return ,Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Data issues 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
"Archived, no abnormality ",To be determined (other reasons) (write notes) 
"The new installation of the order in the province has not been archived, and the disassembly process will be carried out.",Reasons for the group system 
The relay link information configured in the province is inconsistent with that of the group. ,Reasons for the provincial system 
The problem of placing an order ,Data issues 
Stop and try again. ,Reasons for the group system 
Test order ,Data issues 
Test order ,Data issues 
The test list is invalid. ,Data issues 
"There is no configured port in the test environment in the province, and the resources cannot be configured. ",Data issues 
Stop and try again. ,Reasons for the group system 
Stop and try again. ,Reasons for the group system 
It has stopped. ,Data issues 
Ordering problems in the group's province ,Data issues 
Local network arrangement has not been transmitted to CE_COUNTRY district and county fields ,Reasons for the group system 
"The address was not provided when placing the order, and the address was signed and configured. The order cannot be dispatched. At present, the configuration has been completed.",Reasons for the provincial system 
Mandatory order ,Data issues 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
Mandatory order ,Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
Manual receipt for provincial comprehensive adjustment ,Data issues 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem is re-adjusted and sent to provincial resources. The provincial resource callback is abnormal, and the circuit information cannot be found according to the circuit code. ",Data issues 
The problem of placing an order ,To be determined (other reasons) (write notes) 
"At present, the provincial control test environment can only be manually confirmed and returned. At present, the order has been returned. ",Reasons for the provincial system 
No form has been received in the province. ,Reasons for the group system 
"The previous PON transfer test order was not complete due to the incomplete test process, and the waste order was stopped at the front desk. ",Reasons for the design center plan 
The local network was not supported at that time.,Reasons for the group system 
This is the value issued by the group CRM. ,Reasons for the group system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem is re-adjusted and sent to provincial resources. The provincial resource callback is abnormal, and the circuit information cannot be found according to the circuit code. ",Data issues 
"It is necessary to verify the consistency of link information controller, resources and control information in the province, and unify the data link information in the early stage. ",Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
Mandatory order ,Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
"The address was not provided when placing the order, and the address was signed and configured. The order cannot be dispatched. At present, the configuration has been completed.",Reasons for the provincial system 
Mandatory order ,Data issues 
OTN Ethernet link RFS_resource configuration_link no return ,Reasons for the provincial system 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
Research institute program problems ,Reasons for the design center plan 
CRM does not issue fields ,Reasons for the group system 
"It has been called back and arranged, waiting for the follow-up process, and the group arrangement has not called the follow-up process. The group's arrangement problems will be re-adjusted and sent to provincial resources, and provincial resources are to be returned. ",Reasons for the provincial system 
The problem of placing an order ,Data issues 
"Callback arrangement, waiting for the follow-up process, arrangement has not called the follow-up process groupThe group's arrangement problem has been re-adjusted, the order has been passed, the code has been updated, and the service has been restarted. ",Data issues 
"At present, the provincial control test environment can only be manually confirmed and returned. At present, the order has been returned. ",Reasons for the provincial system 
JIPRAN PW access to RFS_resource configuration rollback processing,Reasons for the provincial system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted, and the order has been passed. ",Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
Reserve for resource-free construction and mining process development and testing,Data issues 
Mandatory order ,Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
"Test environmental data problems, unable to allocate data ",Data issues 
"The resources have been successfully returned, and the group arrangement is called again? ",Data issues 
Stop opening the non-re-order. ,Reasons for the provincial system 
Metropolitan Area Network-CN2 three-layer VPN access RFS_disassembly_api no receipt,Reasons for the provincial system 
In the waiting process of dependence ,Collaborative dependence 
"Order problem, the previous order has not been completed, and a new order has been placed. ",To be determined (other reasons) (write notes) 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted. At present, this link has been ordered. ",Data issues 
It has stopped. ,Data issues 
"Test environmental data problems, unable to allocate data ",Data issues 
Three-layer VPN access to RFS_install_api_abnormal resource configuration ,Reasons for the provincial system 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and sent to provincial resources. The abnormal resNetAsbr node of the provincial resource order is empty.PW RFS is not completed. This link is distributed in advance when the group arranges and reissues it. According to the dependency rules, the dependency should not be removed in advance at this time. Provincial resources cannot process the ASBR configuration at the same time in order to complete the PW resource configuration. ",Reasons for the provincial system 
"At present, ONT has no automatic configuration and is already under development. ",Data issues 
Provincial resources OTN aggregation equipment resource allocation has not been returned ,Reasons for the provincial system 
"The group's arrangement and dispatch is abnormal, and the group's arrangement needs to assist in verification. ",To be determined (other reasons) (write notes) 
"The group's arrangement and dispatch is abnormal, and the group's arrangement needs to assist in verification. ",To be determined (other reasons) (write notes) 
Test waste order ,Reasons for the provincial system 
"The relay link of the upper OTN aggregation equipment and pe has not been entered, and the cloud network resource center has been notified for entry. ",Reasons for the provincial system 
Misoperation in the province leads to repeated links. ,Data issues 
Provincial resource network ASBR equipment timeout ,Reasons for the provincial system 
Chargebacks:ipv4AddressMask is null or empty ,Reasons for the provincial system 
"Stop the scene, the plan is being formulated. ",Data issues 
OTN Ethernet Link RFS_No return for on-site construction ,Reasons for the provincial system 
Mandatory order ,Data issues 
Wait for the provincial resource rate change archiving callback ,Reasons for the provincial system 
"The process problem should pass the A8-C IP change process. At present, it has not flowed in accordance with the IP change process, and it has been in the cloud-effective bill of lading. ",Reasons for the design center plan 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The otn test sheet has been completed. ,Reasons for the provincial system 
In the waiting process of dependence ,Collaborative dependence 
The ipran test sheet has been completed. ,Reasons for the provincial system 
Misoperation in the province leads to repeated links. ,Data issues 
Misoperation in the province leads to repeated links. ,Data issues 
Misoperation in the province leads to repeated links. ,Data issues 
The group arranges and confirms that it has arranged the dispatch to the provincial level. ,Reasons for the provincial system 
In the waiting process of dependence ,Collaborative dependence 
Waiting for provincial resources OTN aggregation equipment configuration callback ,Reasons for the provincial system 
OTN Ethernet Link RFS_No return for on-site construction ,Reasons for the provincial system 
"No one took the order in the test environment, and now the order is returned. ",Reasons for the provincial system 
Test list,Reasons for the provincial system 
Waiting for provincial resources OTN aggregation equipment configuration callback ,Reasons for the provincial system 
: Abnormal calculation of provincial arrangement process ,Reasons for the group system 
"The old plane test sheet of pon has been abandoned, and the PON test is subject to the latest test sheet. ",Data issues 
Provincial arrangement without reply ,Data issues 
The ipran test sheet has been completed. ,Reasons for the provincial system 
The ipranAAA test list has been abandoned at present.,Data issues 
"Successful callback arrangement, no abnormality ",Data issues 
"The data has not been found in the resource production of the relay group of the provincial resource OTN aggregation equipment configuration, and the provincial resources need to check whether the relay has been completed. ",Data issues 
"Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api The group's arrangement problem has been re-adjusted and sent to the province, waiting for the provincial resource callback. ",Reasons for the provincial system 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Data issues 
In the waiting process of dependence ,Data issues 
In the waiting process of dependence ,Data issues 
In the waiting process of dependence ,Data issues 
Program issues ,Reasons for the design center plan 
The receipt has been returned ,Data issues 
In the waiting process of dependence ,Collaborative dependence 
Mandatory order ,Data issues 
The test list is invalid. ,Data issues 
In the waiting process of dependence ,Collaborative dependence 
In the waiting process of dependence ,Reasons for the group system 
Test list for January ,Data issues 
Test list for February ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Collaborative dependence 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"Resource parameter problem, AZ-side resource feedback format verification does not pass ",Reasons for the provincial system 
Mandatory order ,Data issues 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Collaborative dependence 
Other reasons (void) ,Data issues 
"IPRAN PW access RFS_installation, provincial card order, no return order in the network configuration link ",Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"After the successful provincial resource callback, it will be arranged. ",To be determined (other reasons) (write notes) 
"Stop the scene, the plan is being formulated. ",Reasons for the design center plan 
"Stop the scene, the plan is being formulated. ",Reasons for the design center plan 
The scene has been stopped. ,Data issues 
"Stop the scene, the plan is being formulated. ",Data issues 
Program issues ,Reasons for the design center plan 
It has stopped. ,Data issues 
"At present, when looking at the list statistics, it is in the provincial resources that have not been returned, and the return time is greater than the statistical time. ",Reasons for the group system 
"The return order is abnormal, the parameter is wrong: the single-terminal circuit does not exist ",Reasons for the group system 
Provincial process testing ,Reasons for the provincial system 
Program issues ,Reasons for the design center plan 
Mandatory order ,Data issues 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Reasons for the group system 
It has stopped opening now. ,To be determined (other reasons) (write notes) 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
Program issues ,Reasons for the design center plan 
Program issues ,Reasons for the design center plan 
Test list,Reasons for the provincial system 
The group arrangement service design entry eventType is empty ,Data issues 
"OTN test sheet, discarded ",Data issues 
The ipran supplementary test sheet is currently being tested. ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer EVPN access RFS_resource configuration_api ,Data issues 
Program issues ,Reasons for the design center plan 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
Repeated callbacks of provincial resources lead to abnormal allocation ,Data issues 
It has been archived. Now the resource can't find this list. Did you do something else? ,Reasons for the provincial system 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
"The interface call problem is not available; the comprehensive call reuses the return interface, but the message verification does not pass, contact the group for arrangement assistance.",Reasons for the provincial system 
The ipranAA test form is currently being tested. ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Data issues 
"Test sheet, manual link ",Data issues 
The test list is invalid. ,Data issues 
Mandatory order ,Data issues 
It has stopped. ,Data issues 
The reply is wrong. ,Reasons for the provincial system 
The reply is wrong. ,Reasons for the provincial system 
Recurring distribution service design in the province ,Data issues 
"The interface of 5G access network ASBR resource allocation has not been adjusted, and it is communicating with provincial resources. ",Reasons for the provincial system 
"Accept the problem, the test environment does not have the installation address. ",Data issues 
Misoperation in the province leads to repeated links. ,Data issues 
Misoperation in the province leads to repeated links. ,Data issues 
The receipt has been returned ,Reasons for the group system 
The receipt has been returned ,Reasons for the group system 
It has stopped. ,Data issues 
"OTN-CN2 three-layer VPN access to RFS_resource configuration_link reverse, waiting for provincial resource optimization to stop logic",Reasons for the provincial system 
Mandatory order ,Data issues 
Mandatory order ,Data issues 
"At present, the provincial resources in this link have been returned and arranged. ",Reasons for the provincial system 
The order has not been received ,Reasons for the provincial system 
The provincial resources of this link have been returned and stopped. ,Reasons for the provincial system 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The interface has been re-adjusted and circulated. ,Reasons for the group system 
Mandatory order ,Data issues 
It has stopped. ,Data issues 
It has stopped. ,Data issues 
Provincial resource process problems ,Reasons for the provincial system 
"Accept the problem, the test environment does not have the installation address. ",Data issues 
Mandatory order ,Data issues 
It has stopped. ,Data issues 
Mandatory order ,Data issues 
It has stopped. ,Data issues 
The single-end circuit does not exist. ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Mandatory order ,Data issues 
Test list,Reasons for the provincial system 
Parameter error: single-terminal circuit does not exist ,Reasons for the provincial system 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The interface has been re-adjusted and circulated. ,Reasons for the group system 
The test environment uses the resource data configured in the province. The group system cannot pass the audit. ,Reasons for the group system 
The model data has been added to the group's resources. The list has not been completed and has been archived after completion. ,Reasons for the group system 
It has stopped. ,Data issues 
The test environment uses the resource data configured in the province. The group system cannot pass the audit. ,Data issues 
"Card Resource Competency Center-Network Management Logic Resource Configuration Link, Network Management-Resource Equipment Data Inconsistent",Reasons for the provincial system 
"Card Resource Competency Center-Network Management Logic Resource Configuration Link, Network Management-Resource Equipment Data Inconsistent",Reasons for the provincial system 
Provincial resources to be returned ,Reasons for the provincial system 
Mandatory order ,Data issues 
Provincial resources to be returned ,Reasons for the provincial system 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
"The shutdown scenario test has been completed, and the order has been scrapped. ",Data issues 
Provincial resource archive pending return ,Reasons for the provincial system 
The receipt has been returned ,Data issues 
Mandatory order ,Data issues 
Test waste order ,Data issues 
There is no receipt in the province. ,Reasons for the provincial system 
Program issues ,Reasons for the group system 
It has stopped. ,Data issues 
Due to repeated dispatches in the province ,Reasons for the provincial system 
"The release card is stuck, and the call has been returned. ",Reasons for the group system 
The test list is invalid. ,Data issues 
Resource data in preparation for testing ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
It has stopped. ,Data issues 
Mandatory order ,Data issues 
Test list,Reasons for the provincial system 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
The test list is invalid. ,Data issues 
Did not receive the call to the group's arranged IPRAN-CN2 three-layer VPN access RFS_resource configuration_api ,Collaborative dependence 
Test list,Reasons for the provincial system 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
3A circuit provincial resource allocation link and opposite-end circuit repeat ,Reasons for the provincial system 
The test list is invalid. ,Data issues 
The test list is invalid. ,Data issues 
"The resource allocation link in the province was not returned in time. At present, the whole process has been completed. ",Reasons for the provincial system 
The meaning is not clear. The controller message has been put in the notes. ,Reasons for the group system 
The receipt has been returned ,Reasons for the group system 
The test list is invalid. ,Data issues 
